Time,Amplitude,Frequency,Device,Channel,Activate
1000877500,67.17557205,99.8558098,AOM,9,
1000885000,67.00784287,99.7812635,AOM,1,
1000885000,67.00784287,99.7812635,AOM,5,
1000885000,67.00784287,99.7812635,AOM,7,
1000885000,67.00784287,99.7812635,AOM,9,
1000892500,66.84053249,99.70690333,AOM,1,
1000892500,66.84053249,99.70690333,AOM,5,
1000892500,66.84053249,99.70690333,AOM,7,
1000892500,66.84053249,99.70690333,AOM,9,
1000900000,66.67363986,99.63272883,AOM,1,
1000900000,66.67363986,99.63272883,AOM,5,
1000900000,66.67363986,99.63272883,AOM,7,
1000900000,66.67363986,99.63272883,AOM,9,
1000907500,66.50716394,99.55873953,AOM,1,
1000907500,66.50716394,99.55873953,AOM,5,
1000907500,66.50716394,99.55873953,AOM,7,
1000907500,66.50716394,99.55873953,AOM,9,
1000915000,66.3411037,99.48493498,AOM,1,
1000915000,66.3411037,99.48493498,AOM,5,
1000915000,66.3411037,99.48493498,AOM,7,
1000915000,66.3411037,99.48493498,AOM,9,
1000922500,66.17545808,99.4113147,AOM,1,
1000922500,66.17545808,99.4113147,AOM,5,
1000922500,66.17545808,99.4113147,AOM,7,
1000922500,66.17545808,99.4113147,AOM,9,
1000930000,66.01022606,99.33787825,AOM,1,
1000930000,66.01022606,99.33787825,AOM,5,
1000930000,66.01022606,99.33787825,AOM,7,
1000930000,66.01022606,99.33787825,AOM,9,
1000937500,65.84540661,99.26462516,AOM,1,
1000937500,65.84540661,99.26462516,AOM,5,
1000937500,65.84540661,99.26462516,AOM,7,
1000937500,65.84540661,99.26462516,AOM,9,
1000945000,65.68099868,99.19155497,AOM,1,
1000945000,65.68099868,99.19155497,AOM,5,
1000945000,65.68099868,99.19155497,AOM,7,
1000945000,65.68099868,99.19155497,AOM,9,
1000952500,65.51700127,99.11866723,AOM,1,
1000952500,65.51700127,99.11866723,AOM,5,
1000952500,65.51700127,99.11866723,AOM,7,
1000952500,65.51700127,99.11866723,AOM,9,
1000960000,65.35341334,99.04596148,AOM,1,
1000960000,65.35341334,99.04596148,AOM,5,
1000960000,65.35341334,99.04596148,AOM,7,
1000960000,65.35341334,99.04596148,AOM,9,
1000967500,65.19023386,98.97343727,AOM,1,
1000967500,65.19023386,98.97343727,AOM,5,
1000967500,65.19023386,98.97343727,AOM,7,
1000967500,65.19023386,98.97343727,AOM,9,
1000975000,65.02746183,98.90109415,AOM,1,
1000975000,65.02746183,98.90109415,AOM,5,
1000975000,65.02746183,98.90109415,AOM,7,
1000975000,65.02746183,98.90109415,AOM,9,
1000982500,64.86509621,98.82893165,AOM,1,
1000982500,64.86509621,98.82893165,AOM,5,
1000982500,64.86509621,98.82893165,AOM,7,
1000982500,64.86509621,98.82893165,AOM,9,
1000990000,64.70313601,98.75694934,AOM,1,
1000990000,64.70313601,98.75694934,AOM,5,
1000990000,64.70313601,98.75694934,AOM,7,
1000990000,64.70313601,98.75694934,AOM,9,
1000997500,64.5415802,98.68514675,AOM,1,
1000997500,64.5415802,98.68514675,AOM,5,
1000997500,64.5415802,98.68514675,AOM,7,
1000997500,64.5415802,98.68514675,AOM,9,
1001005000,64.38042777,98.61352345,AOM,1,
1001005000,64.38042777,98.61352345,AOM,5,
1001005000,64.38042777,98.61352345,AOM,7,
1001005000,64.38042777,98.61352345,AOM,9,
1001012500,64.21967772,98.54207899,AOM,1,
1001012500,64.21967772,98.54207899,AOM,5,
1001012500,64.21967772,98.54207899,AOM,7,
1001012500,64.21967772,98.54207899,AOM,9,
1001020000,64.05932905,98.47081291,AOM,1,
1001020000,64.05932905,98.47081291,AOM,5,
1001020000,64.05932905,98.47081291,AOM,7,
1001020000,64.05932905,98.47081291,AOM,9,
1001027500,63.89938074,98.39972478,AOM,1,
1001027500,63.89938074,98.39972478,AOM,5,
1001027500,63.89938074,98.39972478,AOM,7,
1001027500,63.89938074,98.39972478,AOM,9,
1001035000,63.73983181,98.32881414,AOM,1,
1001035000,63.73983181,98.32881414,AOM,5,
1001035000,63.73983181,98.32881414,AOM,7,
1001035000,63.73983181,98.32881414,AOM,9,
1001042500,63.58068125,98.25808056,AOM,1,
